RecAreaID,OrgRecAreaID,ParentOrgID,RecAreaName,RecAreaDescription,RecAreaUseFeeDescription,RecAreaDirections,RecAreaPhone,RecAreaEmail,RecAreaReservationURL,RecAreaMapURL,RecAreaLongitude,RecAreaLatitude,StayLimit,Keywords,Reservable,Enabled,LastUpdatedDate,nps_name
2622,CAVE,128,Carlsbad Caverns National Park,"High ancient sea ledges, deep rocky canyons, flowering cactus, and desert wildlife—treasures above the ground in the Chihuahuan Desert. Hidden beneath the surface are more than 119 caves—formed when sulfuric acid dissolved limestone leaving behind caverns of all sizes.",,"To access the park's only entrance road, New Mexico Highway 7, turn north from US Hwy 62/180 at White's City, NM, which is 20 miles (32 km) southwest of Carlsbad, NM and 145 miles (233 km) northeast of El Paso, TX. The entrance road stretches a scenic seven miles (11.3 km) from the park gate at White's City to the visitor center and cavern entrance. The address for the park's visitor center is 727 Carlsbad Caverns Hwy, Carlsbad, NM, 88220, located 27 miles (43 km) from the town of Carlsbad.",(575) 785-2232,cave_park_information@nps.gov,,,-104.552969,32.140895,,"Camping,Horse Camping (see also Horse/Stock Use),Picnicking,Horse Camping (see also camping),Horseback Riding,Wildlife Watching,Carlsbad Caverns National Park",FALSE,TRUE,3/19/20,['carlsbad caverns']
2631,CHIS,128,Channel Islands National Park,"Channel Islands National Park encompasses five remarkable islands and their ocean environment, preserving and protecting a wealth of natural and cultural resources. Isolation over thousands of years has created unique animals, plants, and archeological resources found nowhere else on Earth and helped preserve a place where visitors can experience coastal southern California as it once was.",,"While the mainland visitor center in Ventura is readily accessible by car or public transportation, the islands are only accessible by park concessionaire boats and planes or private boat. Advanced planning is highly recommended.",(805) 658-5730,chis_information@nps.gov,,,-119.911273,33.986801,,"Boating,Camping,Fishing,Picnicking,Hiking,Paddling,SCUBA Diving,Snorkeling,Swimming,Wildlife Watching,Channel Islands National Park",FALSE,TRUE,3/19/20,['channel islands']
2644,CONG,128,Congaree National Park,"Astonishing biodiversity exists in Congaree National Park, the largest intact expanse of old growth bottomland hardwood forest remaining in the southeastern United States. Waters from the Congaree and Wateree Rivers sweep through the floodplain, carrying nutrients and sediments that nourish and rejuvenate this ecosystem and support the growth of national and state champion trees.",,"From Interstate 77, Exit 5
At Exit 5 turn onto SC Hwy 48 East/Bluff Road. Following the brown and white ""Congaree National Park"" directional signs, travel approximately 8 miles on and then take a slight right onto Old Bluff Road. Follow Old Bluff Road for 4.5 miles to the park entrance sign, which will be on the right. Proceed one mile to the Harry Hampton Visitor Center. Parking lots will be on the right.",(803) 776-4396,cong_information@nps.gov,,,-80.748678,33.791875,,"Arts and Culture,Camping,Fishing,Picnicking,Hiking,Living History,Paddling,Wildlife Watching,Congaree National Park",FALSE,TRUE,3/19/20,['congaree']
2647,CRLA,128,Crater Lake National Park,"Crater Lake inspires awe. Native Americans witnessed its formation 7,700 years ago, when a violent eruption triggered the collapse of a tall peak. Scientists marvel at its purity: fed by rain and snow, it’s the deepest lake in the USA and one of the most pristine on earth. Artists, photographers, and sightseers gaze in wonder at its blue water and stunning setting atop the Cascade Mountain Range.",,"Much of the year, the park's North Entrance is closed to cars. The North Entrance Road closes for the season on November 1 (or earlier if there is significant snowfall) and tends to open in early June.  The park’s South Entrance is open year round. Winter travelers from Roseburg will need to take Route 138 east to Route 230 south to Route 62 east to the park's west entrance. Winter travels from Bend will take Route 97 south to Route 62 north and west to the park's south entrance.",(541) 594-3000,crla_information_requests@nps.gov,,,-122.133841,42.940659,,"Auto and ATV,Biking,Boating,Camping,Climbing,Fishing,Picnicking,Hiking,Paddling,Swimming,Water Skiing,Wildlife Watching,Crater Lake National Park",FALSE,TRUE,3/19/20,['crater lake']
2652,CUVA,128,Cuyahoga Valley National Park,"Though a short distance from the urban areas of Cleveland and Akron, Cuyahoga Valley National Park seems worlds away. The park is a refuge for native plants and wildlife, and provides routes of discovery for visitors. The winding Cuyahoga River gives way to deep forests, rolling hills, and open farmlands. Walk or ride the Towpath Trail to follow the historic route of the Ohio & Erie Canal.",,"Plane
Cleveland Hopkins International Airport and Akron-Canton Regional Airport offer many daily flights to the area. Car rentals are available at both airports.

Bus & Train
Bus stations are located in downtown Cleveland and Akron. The Amtrak station is in downtown Cleveland.

Car
The park is easily accessible by car from all directions. A good place to start your visit is at Boston Mill Visitor Center located at 6947 Riverview Road, Peninsula, Ohio 44264. (41° 15'45.3"" N) (81° 33'37.3"" W).",(440) 717-3890,cuva_info@nps.gov,,,-81.571167,41.260939,,"Arts and Culture,Biking,Camping,Fishing,Picnicking,Hiking,Horseback Riding,Living History,Paddling,Wildlife Watching,Cuyahoga Valley National Park",FALSE,TRUE,3/19/20,['cuyahoga valley']
2658,DENA,128,Denali National Park & Preserve,"Denali is six million acres of wild land, bisected by one ribbon of road. Travelers along it see the relatively low-elevation taiga forest give way to high alpine tundra and snowy mountains, culminating in North America's tallest peak, 20,310' Denali. Wild animals large and small roam unfenced lands, living as they have for ages. Solitude, tranquility and wilderness await.",,"You can drive to Denali from Anchorage or Fairbanks, along Highway 3, which is known as the ""George Parks Highway."" Fairbanks is about 2 hours north, while Anchorage is 5 hours south of the Denali entrance. 

You can also reach Denali from either city via the Alaska Railroad, which is operated by the State of Alaska. A small private airstrip is also available near the park entrance for individuals wishing to fly their own small craft to the park.",(907) 683-9532,denali_info@nps.gov,,,-151.052657,63.297775,,"Arts and Culture,Auto and ATV,Biking,Camping,Climbing,Hiking,Hunting,Wildlife Watching,Denali National Park & Preserve",FALSE,TRUE,3/19/20,['denali']
2662,DEVA,128,Death Valley National Park,"In this below-sea-level basin, steady drought and record summer heat make Death Valley a land of extremes. Yet, each extreme has a striking contrast. Towering peaks are frosted with winter snow. Rare rainstorms bring vast fields of wildflowers. Lush oases harbor tiny fish and refuge for wildlife and humans. Despite its morbid name, a great diversity of life survives in Death Valley.",,"The main road transecting Death Valley National Park from east to west is California Highway 190.
On the east in Nevada, U.S. Route 95 parallels the park from north to south with connecting highways at Scotty's Junction (State Route 267), Beatty (State Route 374), and Lathrop Wells (State Route 373).",(760) 786-3200,deva_information@nps.gov,,,-117.134395,36.487537,,"Auto and ATV,Biking,Camping,Hiking,Living History,Wildlife Watching,Death Valley National Park",FALSE,TRUE,3/19/20,['death valley']
2665,DRTO,128,Dry Tortugas National Park,"Almost 70 miles (113 km) west of Key West lies the remote Dry Tortugas National Park. This 100-square mile park is mostly open water with seven small islands.  Accessible only by boat or seaplane, the park is known the world over as the home of magnificent Fort Jefferson, picturesque blue waters, superlative coral reefs and marine life, and the vast assortment of bird life that frequents the area.",,"Dry Tortugas National Park is one of the most remote parks in the National Park System. Located approximately 70 miles west of Key West it is accessible only by a daily concession ferry, private boats, charter boats, or seaplane.",(305) 242-7700,drto_information@nps.gov,,,-82.87319,24.628741,,"Boating,Camping,Fishing,Paddling,SCUBA Diving,Snorkeling,Swimming,Wildlife Watching,Dry Tortugas National Park",FALSE,TRUE,3/19/20,['dry tortugas']
2677,EVER,128,Everglades National Park,"Everglades National Park protects an unparalleled landscape that provides important habitat for numerous rare and endangered species like the manatee,  American crocodile, and the elusive Florida panther.

An international treasure as well -  a World Heritage Site, International Biosphere Reserve, a Wetland of International Importance, and a specially protected area under the Cartagena Treaty.",,"Directions to Ernest Coe Visitor Center
40001 State Road 9336, Homestead, FL 33034

Visitors coming from the Miami area and points north should take the Florida Turnpike (Route 821) south until it ends merging with U.S. 1 at Florida City. Turn right at the first traffic light onto Palm Drive (State Road 9336/SW 344th St.) and follow the signs to the park.

Visitors driving north from the Florida Keys should turn left on Palm Drive in Florida City and follow the signs to the park.",(305) 242-7700,ever_information@nps.gov,,,-80.882003,25.372942,,"Biking,Boating,Camping,Fishing,Picnicking,Hiking,Paddling,Wildlife Watching,Everglades National Park",FALSE,TRUE,3/19/20,['everglades']
2716,GAAR,128,Gates Of The Arctic National Park & Preserve,"This vast landscape does not contain any roads or trails. Visitors discover intact ecosystems where people have lived with the land for thousands of years. Wild rivers meander through glacier-carved valleys, caribou migrate along age-old trails, endless summer light fades into aurora-lit night skies of winter. It remains virtually unchanged except by the forces of nature.",,"Gates of the Arctic is a wilderness park, with no roads or trails into the park lands, so visitors must fly or hike into the park. Access begins in Fairbanks, Alaska & there are several small airlines that provide daily flights into the communities of Bettles and Anaktuvuk Pass, and Coldfoot. Most visitors access the park by air taxi or hike in from the Dalton Highway or from the village of Anaktuvuk Pass. River crossings are necessary from both locations.",907459-3730,fair_interpretation@nps.gov,,,-153.291776,67.759616,,"Camping,Climbing,Hiking,Hunting,Paddling,Gates Of The Arctic National Park & Preserve",FALSE,TRUE,3/19/20,['gates of the arctic']
2725,GLAC,128,Glacier National Park,"Come and experience Glacier's pristine forests, alpine meadows, rugged mountains, and spectacular lakes. With over 700 miles of trails, Glacier is a hiker's paradise for adventurous visitors seeking wilderness and solitude. Relive the days of old through historic chalets, lodges, and the famous Going-to-the-Sun Road. Explore Glacier National Park and discover what awaits you.",,"Glacier National Park is located in the northwest corner of Montana along the spine of the Rocky Mountains.
By Car you can access Glacier via Highway 2, which runs along the southern boundary of the park. You can reach the east side of the park via Highway 89.

The nearest airports are in Kalispell and Great Falls, Montana",(406) 888-7800,glac_questions@nps.gov,,,-113.800931,48.684147,,"Arts and Culture,Auto and ATV,Biking,Boating,Camping,Horse Camping (see also Horse/Stock Use),Climbing,Fishing,Hiking,Horse Camping (see also camping),Horseback Riding,Paddling,Swimming,Glacier National Park",FALSE,TRUE,3/19/20,['glacier']
2726,GLBA,128,Glacier Bay National Park & Preserve,"Covering 3.3 million acres of rugged mountains, dynamic glaciers, temperate rainforest, wild coastlines and deep sheltered fjords, Glacier Bay National Park is a highlight of Alaska's Inside Passage and part of a 25-million acre World Heritage Site—one of the world’s largest international protected areas. From sea to summit, Glacier Bay offers limitless opportunities for adventure and inspiration.",,"Glacier Bay National Park and Preserve lies west of Juneau, Alaska, and can only be reached by plane or boat. The only road in the area merely connects the small town of Gustavus and its airfield to park headquarters at Bartlett Cove (10 miles). Alaska Airlines provides daily jet service from Juneau to Gustavus  in the summer months. Year-round scheduled air service is also provided by a variety of small air taxis and charters. The Alaska Marine Highway ferries also provide regular service from Juneau.",(907) 697-2230,glba_administration@nps.gov,,,-136.840758,58.800867,,"Arts and Culture,Auto and ATV,Boating,Camping,Climbing,Fishing,Hiking,Hunting,Paddling,Wildlife Watching,Glacier Bay National Park & Preserve",FALSE,TRUE,3/19/20,"['glacier bay', 'glacier']"
2732,GRBA,128,Great Basin National Park,"From the 13,063-foot summit of Wheeler Peak, to the sage-covered foothills, Great Basin National Park is a place to sample the stunning diversity of the larger Great Basin region. Come and partake of the solitude of the wilderness, walk among ancient bristlecone pines, bask in the darkest of night skies, and explore mysterious subterranean passages. There's a whole lot more than just desert here!",,"From the East or West: From U.S. Highway 6 & 50, turn south on Nevada State Highway 487 and travel 5 miles to Baker, NV. In Baker turn west on Highway 488 and travel 5 miles to the park. From the South (Utah): Travel north on Utah State Highway 21 through Milford, UT and Garrison, UT, Highway 487. Turn west on Highway 488 in Baker and travel 5 miles to the park. From the South (Nevada): Travel north on U.S. Highway 93. No public transportation is available to, or in, Great Basin National Park.",(775) 234-7331,grba_interpretation@nps.gov,,,-114.257978,38.946174,,"Auto and ATV,Camping,Horse Camping (see also Horse/Stock Use),Fishing,Hiking,Horse Camping (see also camping),Horseback Riding,Wildlife Watching,Great Basin National Park",FALSE,TRUE,3/19/20,['great basin']
2733,GRCA,128,Grand Canyon National Park,"Unique combinations of geologic color and erosional forms decorate a canyon that is 277 river miles (446km) long, up to 18 miles (29km) wide, and a mile (1.6km) deep. Grand Canyon overwhelms our senses through its immense size.

The South Rim is open all year. 

The North Rim is Closed for the Winter. It will reopen on May 15, 2020, for the 2020 season.",,"South Rim: Open all year, is located 60 miles north of Williams, Arizona (via route 64 from Interstate 40) and 80 miles northwest of Flagstaff (via route 180). Grand Canyon lies entirely within the state of Arizona.

North Rim: Now closed for the winter - opens May 15, 2020, for the season. North Rim is located 30 miles south of Jacob Lake on Highway 67; the actual rim of the canyon is an additional 14 miles south. Jacob Lake, AZ is located in northern Arizona on Highway 89A, not far from the Utah border.",(928) 638-7888,grca_information@nps.gov,,,-112.683602,36.172802,,"Arts and Culture,Auto and ATV,Biking,Boating,Camping,Horse Camping (see also Horse/Stock Use),Fishing,Hiking,Living History,Paddling,Wildlife Watching,Grand Canyon National Park",FALSE,TRUE,3/19/20,['grand canyon']
2738,GRSA,128,Great Sand Dunes National Park & Preserve,"Open all day and night year round, the tallest dunes in North America are the centerpiece in a diverse landscape of grasslands, wetlands, conifer and aspen forests, alpine lakes, and tundra. Experience a starry sky on moonless nights, or a surreal walk on the dunes under bright full moonlight.",,"To access the main park area, including the Dunes Parking Lot, Visitor Center, and Pinyon Flats Campground, take US 160 to CO 150 from the south, or CO 17 to Lane 6 to CO 150 from the west. The national park is at the north end of CO 150.",(719) 378-6395,grsa_interpretation@nps.gov,,,-105.591957,37.792568,,"Arts and Culture,Auto and ATV,Biking,Camping,Horse Camping (see also Horse/Stock Use),Climbing,Fishing,Picnicking,Hiking,Horse Camping (see also camping),Horseback Riding,Hunting,Swimming,Water Skiing,Wildlife Watching,Great Sand Dunes National Park & Preserve",FALSE,TRUE,3/19/20,['great sand dunes']
2739,GRSM,128,Great Smoky Mountains National Park,"Ridge upon ridge of forest straddles the border between North Carolina and Tennessee in Great Smoky Mountains National Park. World renowned for its diversity of plant and animal life, the beauty of its ancient mountains, and the quality of its remnants of Southern Appalachian mountain culture, this is America's most visited national park.",,"Great Smoky Mountains National Park straddles the borders of the states of Tennessee and North Carolina. The three main entrances to the park are in the Gatlinburg, TN; Townsend, TN; and Cherokee, NC.",(865) 436-1200,GRSM_Smokies_Information@nps.gov,,,-83.508183,35.601164,,"Arts and Culture,Auto and ATV,Biking,Camping,Horse Camping (see also Horse/Stock Use),Fishing,Picnicking,Hiking,Horse Camping (see also camping),Horseback Riding,Wildlife Watching,Great Smoky Mountains National Park",FALSE,TRUE,3/19/20,['great smoky mountains']
2744,GUMO,128,Guadalupe Mountains National Park,"Guadalupe Mountains National Park protects the world's most extensive Permian fossil reef, the four highest peaks in Texas, an environmentally diverse collection of flora and fauna, and the stories of lives shaped through conflict, cooperation and survival. Come experience mountains and canyons, desert and dunes, night skies and spectacular vistas within a place unlike any other within the NPS.",,"Guadalupe Mountains National Park is located on the north side of US Hwy 62/180. 
If you are traveling east from El Paso, TX, we are 110 miles East of the city. Follow US Hwy 62/180 North to the Pine Springs Visitor Center. 
If you are traveling from Van Horn, TX, you will travel north on US 54 and make a left hand turn at the junction of US 62/180 to arrive at the park.
If you are traveling west from Carlsbad, NM, you will travel on US Hwy 62/180 South and cross into Texas. Follow signs to the park.",(915) 828-3251,gumo_administration@nps.gov,,,-104.885527,31.923045,,"Auto and ATV,Camping,Horse Camping (see also Horse/Stock Use),Hiking,Horse Camping (see also camping),Horseback Riding,Wildlife Watching,Guadalupe Mountains National Park",FALSE,TRUE,3/19/20,['guadalupe mountains']
2751,HALE,128,Haleakal&#257; National Park,"This special place vibrates with stories of ancient and modern Hawaiian culture and protects the bond between the land and its people. The park also cares for endangered species, some of which exist nowhere else. Come visit this special place - renew your spirit amid stark volcanic landscapes and sub-tropical rain forest with an unforgettable hike through the backcountry.",,"Located on the island of Maui, Haleakalā National Park extends from the 10,023 foot (3055m) summit of Haleakalā down the southeast flank of the mountain to the Kīpahulu coast near Hana. These two sections of the park are not directly connected by road, but both can be reached from Kahului.
There are no gas stations within the park. The last place to get gas in route to the Summit Area is in the town of Pukalani, and along the Hana Highway before Hana is in the town of is in the town of Paia.",(808) 572-4400,hale_interpretation@nps.gov,,,-156.159177,20.70693,,"Camping,Hiking,Swimming,Haleakal&#257; National Park",FALSE,TRUE,3/19/20,[]
2753,HAVO,128,Hawai'i Volcanoes National Park,"Hawai‘i Volcanoes National Park protects some of the most unique geological, biological, and cultural landscapes in the world. Extending from sea level to the summit of Mauna Loa at 13,677 feet, the park encompasses the summits of two of the world's most active volcanoes - Kilauea and Mauna Loa",,"Hawai‘i Volcanoes National Park is located on the island of Hawai‘i. From Hilo: 30 miles southwest on Highway 11 (a 45 minute drive); from Kailua-Kona: 96 miles southeast on Highway 11 (2 to 2 1/2 hour drive), or 125 miles through Waimea and Hilo via highways 19 and 11 (2 1/2 to 3 hours).",(808) 985-6101,havo_information@nps.gov,,,-155.470026,19.335504,,"Arts and Culture,Biking,Camping,Hiking,Living History,Wildlife Watching,Hawai'i Volcanoes National Park",FALSE,TRUE,3/19/20,[]
2760,HOSP,128,Hot Springs National Park,"Water. That's what first attracted people, and they have been coming here ever since to use these soothing thermal waters to heal and relax. Rich and poor alike came for the baths, and a thriving city built up around the hot springs. Together nicknamed ""The American Spa,"" Hot Springs National Park today surrounds the north end of the city of Hot Springs, Arkansas. Come discover it for yourself.",,"Hot Springs National Park is a 5,500 acre park in the city of Hot Springs.  Bathhouse Row, a quarter mile long collection of eight bathhouses along the east side of Central Avenue, is the most visited area within the national park. The Fordyce Bathhouse operates as a visitor center and a museum.",(501) 620-6715,hosp_park_interpretation@nps.gov,,,-93.063329,34.524144,,"Camping,Hiking,Hot Springs National Park",FALSE,TRUE,3/19/20,['hot springs']
2767,INDU,128,Indiana Dunes National Park,"Indiana Dunes National Park hugs 15 miles of the southern shore of Lake Michigan and has much to offer. Whether you enjoy scouting for rare species of birds or flying kites on the sandy beach, the national park's 15,000 acres will continually enchant you.  Hikers will enjoy 50 miles of trails over rugged dunes, mysterious wetlands, sunny prairies, meandering rivers and peaceful forests.",,"Visitors can access the national park via Interstate 94, the Indiana Toll Road (Interstate 80/90), U.S. Highway 12, U.S. Highway 20, Indiana State Road 49, and various other local roads. The Indiana Dunes Visitor Center is located on Indiana State Road 49, between U.S. Highway 20 and Interstate 94 (1215 North State Road 49, Porter, IN 46304). For a driving map to the Indiana Dunes Visitor Center or other locations, check out our maps page.",(219) 395-1882,indu_communications@nps.gov,,,-87.096474,41.637655,,"Arts and Culture,Auto and ATV,Biking,Boating,Camping,Fishing,Picnicking,Hiking,Paddling,Swimming,Wildlife Watching,Indiana Dunes National Park",FALSE,TRUE,3/19/20,['indiana dunes']
