RecAreaAddressID,RecAreaID,RecAreaAddressType,RecAreaStreetAddress1,RecAreaStreetAddress2,RecAreaStreetAddress3,City,PostalCode,AddressStateCode,AddressCountryCode,LastUpdatedDate
10271,13604,Default,,,,Wells,NV,89835,USA,2020-03-19
10272,13605,Default,,,,,CA,,,2020-03-19
10273,13606,Default,,,,,WA,,,2020-03-19
10274,13607,Default,Henry Mountains Field Station," (Hanksville Office)",380 South 100 West,Hanksville,UT,84734,USA,2020-03-19
10275,13608,Default,Henry Mountains Field Station," (Hanksville Office)",380 South 100 West,Hanksville,UT,84734,USA,2020-03-19
10276,13609,Default,Henry Mountains Field Station,(Hanksville Office),380 South 100 West,Hanksville,UT,84734,USA,2020-03-19
10277,13610,Default,,,,,WV,,,2020-03-19
10278,13611,Default,Vernal Field Office,170 South 500 East,,Vernal,UT,84078,USA,2020-03-19
10279,13612,Default,,,,,CO,,,2020-03-19
1028,2220,Default,Buffalo Field Office,1425 Fort Street,,Buffalo,WY,82834,USA,2020-03-19
10280,13613,Default,,,,,MA,,,2020-03-19
10281,13613,Default,,,,,NH,,,2020-03-19
10282,13613,Default,,,,,VT,,,2020-03-19
10283,13614,Default,,,,,MA,,,2020-03-19
10284,13615,Default,,,,,NH,,,2020-03-19
10285,13616,Default,,,,,VT,,,2020-03-19
10286,13617,Default,,,,,CT,,,2020-03-19
10287,13618,Default,St. George Field Office,345 E. Riverside Drive,,St. George,UT,84790,USA,2020-03-19
10288,13619,Default,Kanab Field Office,318 North 100 East,,Kanab,UT,84741,USA,2020-03-19
10289,13620,Default,Vernal Field Office,170 South 500 East,,Vernal,UT,84078,USA,2020-03-19
10290,13621,Default,Cedar City Field Office,176 East D.L. Sargent Drive," ",Cedar City,UT,84720,USA,2020-03-19
10291,13622,Default,Salt Lake Field Office,2370 South 2300 West,,Salt Lake City,UT,84119,USA,2020-03-19
10292,13623,Default,,,,,OR,,,2020-03-19
10293,13624,Default,Escalante Field Station,PO Box 225,755 West Main Street,Escalante,UT,84726,USA,2020-03-19
10294,13625,Default,,,,,AR,,,2020-03-19
10295,13625,Default,1002 Blackburn Street,,,Cody,WY,82414,USA,2020-03-19
10296,13626,Default,,,,,AR,,,2020-03-19
10297,13627,Default,Rawlins Field Office,1300 North Third Street,,Rawlins,WY,82301,USA,2020-03-19
10298,13628,Default,,,,,CA,,,2020-03-19
10299,13629,Default,Rawlins Field Office,1300 North Third Street,PO Box 2407,Rawlins,WY,82301,USA,2020-03-19
1030,2229,Default,Rawlins Field Office,1300 North Third Street,,Rawlins,WY,82301,USA,2020-03-19
10300,13630,Default,,,,,OR,,,2020-03-19
10301,13631,Default,Lander Field Office,1335 Main Street,,Lander,WY,82520,USA,2020-03-19
10302,13631,Default,,,,,UT,,,2020-03-19
10303,13632,Default,Pinedale Field Office,1625 West Pine Street ,P.O. Box 768,Pinedale,WY,82941,USA,2020-03-19
10304,13633,Default,Pinedale Field Office,1625 West Pine Street ,P.O. Box 768,Pinedale,WY,82941,USA,2020-03-19
10305,13634,Default,,,,,TN,,,2020-03-19
10306,13635,Default,,,,,CA,,,2020-03-19
10307,13636,Default,Safford Field Office,711 14th Avenue,,Safford,AZ,85546,USA,2020-03-19
10308,13637,Default,Smithsonian Institution,"P.O. Box 37012, MRC 707",,Washington,DC,20013-7012,USA,2020-03-19
10309,13638,Default,"7th and Independence Ave, SW",,,Washington,DC,20560,USA,2020-03-19
1031,2238,Default,Pinedale Field Office,1625 West Pine Street,PO Box 768,Pinedale,WY,82941,USA,2020-03-19
10310,13639,Default,"950 Independence Avenue, SW",,,Washington,DC,20560-0708,USA,2020-03-19
10311,13640,Default,"10th Street and Constitution Avenue, NW",,,Washington,DC,20560-0166,USA,2020-03-19
10312,13641,Default,"2 Massachusetts Ave., N.E.",,,Washington,DC,20002,USA,2020-03-19
10313,13641,Default,"900 Jefferson Drive, SW",,,Washington,DC,20013,USA,2020-03-19
10314,13642,Default,,,,,NM,,,2020-03-19
10315,13643,Default,,,,,UT,,,2020-03-19
10316,13644,Default,,,,,CA,,,2020-03-19
10317,13645,Default,,,,,UT,,,2020-03-19
10318,13646,Default,,,,,UT,,,2020-03-19
10319,13647,Default,,,,,CO,,,2020-03-19
10320,13648,Default,,,,,KS,,,2020-03-19
10321,13649,Default,,,,,FL,,,2020-03-19
10322,13650,Default,,,,,FL,,,2020-03-19
10323,13651,Default,,,,,NC,,,2020-03-19
10324,13652,Default,,,,,NC,,,2020-03-19
10325,13653,Default,,,,,NV,,,2020-03-19
10326,13654,Default,,,,,AZ,,,2020-03-19
10327,13655,Default,,,,,CO,,,2020-03-19
10328,13656,Default,,,,,OR,,,2020-03-19
10329,13657,Default,,,,,MT,,,2020-03-19
10330,13658,Default,,,,,AK,,,2020-03-19
10332,13659,Default,,,,,NM,,,2020-03-19
10333,13660,Default,,,,,MO,,,2020-03-19
10334,13661,Default,,,,,AK,,,2020-03-19
10335,13662,Default,,,,,CO,,,2020-03-19
10336,13663,Default,,,,,NV,,,2020-03-19
10337,13664,Default,,,,,CO,,,2020-03-19
10338,13665,Default,,,,,MN,,,2020-03-19
10339,1176,Default,,,,,OR,,,2020-03-19
10340,13666,Default,,,,,WI,,,2020-03-19
10341,13667,Default,,,,,NY,,,2020-03-19
10342,13667,Default,1616 East 18th Street,,,Kansas City,MO,64108,USA,2020-03-19
10343,13668,Default,P.O. Box 1587,,,Anniston,AL,36202-1587,USA,2020-03-19
10344,13669,Default,,,,,PA,,,2020-03-19
10345,13670,Default,The University of Arizona,P.O. Box 210026,,Tucson,AZ,85721,USA,2020-03-19
10346,13670,Default,,,,,IL,,,2020-03-19
10347,13670,Default,901 West Pratt Street,,,Baltimore,MD,21223-2699,USA,2020-03-19
10348,13670,Default,,,,,KY,,,2020-03-19
10349,13670,Default,One East 104 Street,,,New York,NY,10029-4495,USA,2020-03-19
1035,2252,Default,Rock Springs Field Office,280 Highway 191 North,,Rock Springs,WY,82901,USA,2020-03-19
10350,13670,Default,3700 Blackhawk Plaza Circle,,,Danville,CA,94506-4652,USA,2020-03-19
10351,13670,Default,700 State Drive,,,Los Angeles,CA,90037-1210,USA,2020-03-19
10352,13670,Default,10000 Skyline Boulevard,,,Oakland,CA,94619,USA,2020-03-19
10353,13670,Default,,,,,TN,,,2020-03-19
10354,13670,Default,1985 Cpl. Frank Scott Drive,,,College Park,MD,20740-3836,USA,2020-03-19
10355,13671,Default,,,,,AR,,,2020-03-19
10356,13672,Default,100 Second Street North,,,St. Petersburg,FL,33701-3312,USA,2020-03-19
10357,13673,Default,University Park Campus,11200 SW 8th Street,,Miami,FL,33199,USA,2020-03-19
10358,13674,Default,"1280 Peachtree Street, N.E.",,,Atlanta,GA,30309,USA,2020-03-19
10359,13675,Default,,,,,LA,,,2020-03-19
10360,13676,Default,116 West Main Street,,,Jonesborough,TN,37659,USA,2020-03-19
10361,13677,Default,11407 Constitution Highway,P.O. Box 67,,Montpelier Station,VA,22957,USA,2020-03-19
10362,13678,Default,369 East First Street,,,Los Angeles,CA,90012-3901,USA,2020-03-19
10363,13679,Default,P.O. Box 398,,,Captain Cook,HI,96704,USA,2020-03-19
10364,1806,Default,9600 West Sahara Avenue,,,Las Vegas,NV,89117-5959,USA,2020-03-19
10365,13680,Default,P.O. Box 38356,,,Shreveport,LA,71133,USA,2020-03-19
10366,13681,Default,276 Haili Street,,,Hilo,HI,96720,USA,2020-03-19
10367,13682,Default,350 S. Duval Street,,,Tallahassee,FL,32301-1711,USA,2020-03-19
10368,13683,Default,,,,,AZ,,,2020-03-19
10369,13684,Default,,,,,MD,,,2020-03-19
10370,13685,Default,500 Mid America Blvd.,Hot Springs National Park,,Hot Springs,AR,71913,USA,2020-03-19
10371,13686,Default,P.O. Box 41209,,,San Juan,PR,00940-1209,USA,2020-03-19
10372,13687,Default,"San Felipe, Plaza de Independencia",,,Panama,NA,1213 Zona ,USA,2020-03-19
10373,13688,Default,48 Wall Street,,,New York,NY,10004,USA,2020-03-19
10374,13689,Default,1025 Museum Circle,,,Jacksonville,FL,32207-9053,USA,2020-03-19
10375,13690,Default,30 Centre Square,,,Easton,PA,18042-7743,USA,2020-03-19
10376,13691,Default,,,,,OR,,,2020-03-19
10377,13692,Default,55 North 5th Street,Independence Mall East,,Philadelphia,PA,19106-2197,USA,2020-03-19
10378,13692,Default,312 Elm Street,20th Floor,,Cincinnati,OH,45202,USA,2020-03-19
10379,13692,Default,,,,,MD,,,2020-03-19
10380,13692,Default,Cultural Education Center,Room 3140,,Albany,NY,12230,USA,2020-03-19
10381,13692,Default,11 West Jones Street,,,Raleigh,NC,27601-1029,USA,2020-03-19
10382,13692,Default,2316 West First Avenue,,,Spokane,WA,99204,USA,2020-03-19
10383,13693,Default,136 G. E. Ohr Street,,,Biloxi,MS,39530,USA,2020-03-19
10384,13694,Default,P.O. Box 201765,,,Arlington,TX,76006,USA,2020-03-19
10385,13695,Default,"19 East Fayette Street, Suite 404",,,Baltimore,MD,21202,USA,2020-03-19
10386,13696,Default,816 South Hennepin Avenue,,,Dixon,IL,61021,USA,2020-03-19
10387,13697,Default,1040 Museum Boulevard,,,Daytona Beach,FL,32114-4597,USA,2020-03-19
10388,13698,Default,P.O. Box 3525,,,Telluride,CO,81435,USA,2020-03-19
10389,13699,Default,,,,,AZ,,,2020-03-19
10390,13699,Default,1500 East Garrison Boulevard,,,Gastonia,NC,28054,USA,2020-03-19
10391,13699,Default,2829 Cherokee Street,,,Kennesaw,GA,30144-2797,USA,2020-03-19
10392,13699,Default,701 Arch Street,,,Philadelphia,PA,19106,USA,2020-03-19
10393,13700,Default,3500 Shamrock Drive,,,Charlotte,NC,28215,USA,2020-03-19
10394,13701,Default,"14th & Independence Avenue, SW",,,Washington,DC,20250,USA,2020-03-19
10395,13702,Default,P. O. Box 721,,,Newark,OH,43058-0721,USA,2020-03-19
10396,13703,Default,,,,,OK,,,2020-03-19
10397,13704,Default,P.O. Box 070015,,,Huntsville,AL,35807-7015,USA,2020-03-19
10398,13705,Default,P.O. Box 3030 - University Station,Road No. 189 Km. 3.3,,Gurabo,PR,00778-0303,USA,2020-03-19
10399,13706,Default,181 White Street,,,Danbury,CT,06810-6855,USA,2020-03-19
10400,13707,Default,407 Seventh Avenue South,,,Seattle,WA,98104,USA,2020-03-19
10401,13708,Default,,,,,ID,,,2020-03-19
10402,13708,Default,25804 North Willow Beach Road,"HC 37, Box 17",,Willow Beach,AZ,86445,USA,2020-03-19
10403,13709,Default,State Park Road,P.O. Box 160,,Mammoth Spring,AR,72554,USA,2020-03-19
10404,13710,Default,16349 Shasta Dam Boulevard,,,Shasta Lake,CA,96019,USA,2020-03-19
10405,13711,Default,8342 Hatchery Road,,,"Hotchkiss,",CO,81419,USA,2020-03-19
10407,13713,Default,Route 1,Box 98A,,Kooskia,ID,83539,USA,2020-03-19
10408,13713,Default,1500 Fish Hatchery Road,,,Jackson,WY,83001,USA,2020-03-19
10409,13713,Default,S5689 State Road 35,,,Genoa,WI,54632-8836,USA,2020-03-19
1041,2290,Default,Bureau of Land Management,Safford Field Office,711 14th Avenue,Safford,AZ,85546-3321,USA,2020-03-19
10410,13714,Default,453A Twin Lakes Road,P.O. Box 429,,Winthrop,WA,98862,USA,2020-03-19
10411,13715,Default,6970 Entiat River Road,,,Entiat,WA,98822,USA,2020-03-19
10412,13716,Default,3 Sockeye Road,,,Humptulips,WA,98552,USA,2020-03-19
10413,13717,Default,14041 Wind River Highway,,,Carson,WA,98610,USA,2020-03-19
10414,13718,Default,2086 River St.,"RF 2, Box 140",,Bethel,VT,05032,USA,2020-03-19
10415,13719,Default,1380 South 2350 West,,,Vernal,UT,84078,USA,2020-03-19
10416,13720,Default,754 County Road 203,P.O. Box 708,,Uvalde,TX,78802,USA,2020-03-19
10417,13721,Default,500 East McCarty Lane,,,San Marcos,TX,78666,USA,2020-03-19
10418,13722,Default,345 County Road 117,"Route 2, Box 32-B",,Burnet,TX,78611,USA,2020-03-19
10419,13723,Default,427 Lakeview St.,P.O. Box 410,,Orangeburg,SC,29487,USA,2020-03-19
10420,13724,Default,,,,,NY,,,2020-03-19
10421,13725,Default,5503 W. Highway 7,"Route 2, Box 480",,Tishomingo,OK,73460,USA,2020-03-19
10422,13726,Default,Fish Hatchery Road,P.O. Box 530,,Riverdale,ND,58565,USA,2020-03-19
10423,13727,Default,"State Highway 434, Milepost 1.5",P.O. Box 689,,Mora,NM,87732,USA,2020-03-19
10424,13728,Default,710 Highway 395,,,Gardnerville,NV,89410,USA,2020-03-19
10425,13729,Default,520 E. Park Street,,,Neosho,MO,64850,USA,2020-03-19
10426,13730,Default,6623 Turner Road,,,Elmira,MI,49730,USA,2020-03-19
10427,13731,Default,51 East Plumtree Road,,,Sunderland,MA,01375,USA,2020-03-19
10428,13732,Default,Route 180,One Hatchery Way,,Ellsworth,ME,04605,USA,2020-03-19
10429,13733,Default,50 Kendall Road,,,Jamestown,KY,42629,USA,2020-03-19
10430,13734,Default,,,,,KY,,,2020-03-19
10431,13735,Default,,,,,IL,,,2020-03-19
10432,13736,Default,,,,,UT,,,2020-03-19
10433,13737,Default,,,,,MO,,,2020-03-19
10434,13738,Default,,,,,IA,,,2020-03-19
10435,13739,Default,,,,,UT,,,2020-03-19
10436,13740,Default,,,,,PA,,,2020-03-19
10437,13741,Default,,,,,LA,,,2020-03-19
10438,13742,Default,,,,,CO,,,2020-03-19
10439,13743,Default,,,,,NV,,,2020-03-19
10440,13744,Default,,,,,OR,,,2020-03-19
10441,13745,Default,,,,,OR,,,2020-03-19
10442,13746,Default,,,,,MS,,,2020-03-19
10443,13747,Default,,,,,NV,,,2020-03-19
10444,13748,Default,6028 South Gallup Street,,,Littleton,CO,80120-2703,USA,2020-03-19
10445,13749,Default,,,,,OR,,,2020-03-19
10446,13750,Default,4580 Rachel's Lane,,,Hermitage,TN,37076-1344,USA,2020-03-19
10447,13751,Default,,,,,IL,,,2020-03-19
10448,13752,Default,,,,,CT,,,2020-03-19
10449,13753,Default,,,,,ID,,,2020-03-19
10450,13754,Default,,,,,WV,,,2020-03-19
10451,13755,Default,,,,,NJ,,,2020-03-19
10452,13756,Default,,,,,MN,,,2020-03-19
10453,13757,Default,,,,,UT,,,2020-03-19
10454,13758,Default,471 East Tahquitz Canyon Way,,,Palm Springs,CA,92262,USA,2020-03-19
10455,13759,Default,1 Tenth Street,,,Augusta,GA,30901-1134,USA,2020-03-19
10456,13760,Default,,,,,NY,,,2020-03-19
10457,13761,Default,17420 North Avenue of the Arts,,,Surprise,AZ,85374,USA,2020-03-19
10458,13762,Default,Burley Field Office,15 East 200 South,,Burley,ID,88318,USA,2020-03-19
10459,13763,Default,The University of Tennessee,1327 Circle Park Drive,,Knoxville,TN,37996-3200,USA,2020-03-19
10460,13764,Default,P.O. Box 110,,,Mount Vernon,VA,22121,USA,2020-03-19
10461,13765,Default,4435 Frankfort Pike,,,Lexington,KY,40510,USA,2020-03-19
10462,13766,Default,Calle Ramon H. Jurado,"Punt Paitilla, Condominio Miramar",,Panama    Zona 1,NA,,USA,2020-03-19
10463,13767,Default,459 Old York Road,,,Bethlehem,PA,18018,USA,2020-03-19
10464,13768,Default,,,,,OR,,,2020-03-19
10465,13769,Default,,,,,NV,,,2020-03-19
10469,13770,Default,,,,,AL,,,2020-03-19
10470,13771,Default,,,,,MS,,,2020-03-19
10471,13772,Default,,,,,TN,,,2020-03-19
10472,13773,Default,,,,,ND,,,2020-03-19
10473,13773,Default,,,,,SD,,,2020-03-19
10474,13774,Default,,,,,ND,,,2020-03-19
10475,13775,Default,,,,,SD,,,2020-03-19
10476,13776,Default,,,,,UT,,,2020-03-19
10477,13777,Default,,,,,OR,,,2020-03-19
10478,13778,Default,,,,,UT,,,2020-03-19
10479,13779,Default,,,,,WA,,,2020-03-19
10480,13780,Default,,,,,MN,,,2020-03-19
10481,13781,Default,,,,,ID,,,2020-03-19
10482,13782,Default,,,,,TN,,,2020-03-19
10483,13783,Default,,,,,UT,,,2020-03-19
10484,13784,Default,,,,,OH,,,2020-03-19
10485,13785,Default,,,,,IL,,,2020-03-19
10486,13785,Default,,,,,IN,,,2020-03-19
10487,13785,Default,,,,,OH,,,2020-03-19
10488,13786,Default,,,,,IL,,,2020-03-19
10489,13787,Default,,,,,IN,,,2020-03-19
10490,13788,Default,,,,,OH,,,2020-03-19
10491,13789,Default,,,,,ME,,,2020-03-19
10492,13790,Default,,,,,AZ,,,2020-03-19
10493,13791,Default,,,,,FL,,,2020-03-19
10494,13792,Default,,,,,SC,,,2020-03-19
10495,13793,Default,,,,,OR,,,2020-03-19
10496,13794,Default,,,,,NC,,,2020-03-19
10497,13795,Default,,,,,ID,,,2020-03-19
10498,13796,Default,,,,,AR,,,2020-03-19
10499,13797,Default,,,,,OR,,,2020-03-19
10500,13798,Default,,,,,WA,,,2020-03-19
10501,13799,Default,,,,,CA,,,2020-03-19
10502,13800,Default,,,,,CA,,,2020-03-19
10503,13801,Default,,,,,MN,,,2020-03-19
10504,13802,Default,,,,,ID,,,2020-03-19
10505,13803,Default,,,,,CO,,,2020-03-19
10506,13804,Default,,,,,ID,,,2020-03-19
10507,13805,Default,,,,,SD,,,2020-03-19
10508,13806,Default,,,,,AR,,,2020-03-19
10509,13807,Default,,,,,ID,,,2020-03-19
10510,13808,Default,,,,,MT,,,2020-03-19
10511,13809,Default,,,,,UT,,,2020-03-19
10512,13810,Default,,,,,NV,,,2020-03-19
10513,13811,Default,,,,,OR,,,2020-03-19
10514,13812,Default,,,,,NM,,,2020-03-19
10515,13813,Default,,,,,ME,,,2020-03-19
10516,13814,Default,,,,,WY,,,2020-03-19
10517,13815,Default,,,,,KY,,,2020-03-19
10518,13816,Default,,,,,NV,,,2020-03-19
10519,13817,Default,,,,,AZ,,,2020-03-19
10520,13818,Default,,,,,MD,,,2020-03-19
10522,13820,Default,,,,,CA,,,2020-03-19
10523,13821,Default,,,,,MI,,,2020-03-19
10524,13822,Default,,,,,OR,,,2020-03-19
10525,13823,Default,,,,,OR,,,2020-03-19
10526,13824,Default,,,,,CA,,,2020-03-19
10527,13825,Default,,,,,CA,,,2020-03-19
10528,13826,Default,,,,,GA,,,2020-03-19
10529,13827,Default,,,,,CA,,,2020-03-19
10530,13828,Default,,,,,NM,,,2020-03-19
10531,13829,Default,,,,,CO,,,2020-03-19
10532,13830,Default,,,,,NM,,,2020-03-19
10533,13831,Default,,,,,CO,,,2020-03-19
10534,13831,Default,,,,,NM,,,2020-03-19
10535,13832,Default,,,,,NM,,,2020-03-19
10536,13833,Default,,,,,CO,,,2020-03-19
10537,13834,Default,,,,,SC,,,2020-03-19
10538,13835,Default,,,,,ID,,,2020-03-19
10539,13836,Default,,,,,UT,,,2020-03-19
10540,13837,Default,,,,,UT,,,2020-03-19
10541,13838,Default,,,,,ME,,,2020-03-19
10542,13839,Default,,,,,AL,,,2020-03-19
10543,13840,Default,,,,,WY,,,2020-03-19
10544,13841,Default,,,,,AK,,,2020-03-19
10545,13842,Default,,,,,WA,,,2020-03-19
10546,13843,Default,,,,,ND,,,2020-03-19
10547,13844,Default,285 Peachtree Center Avenue,,,Atlanta,GA,30303,USA,2020-03-19
10548,13845,Default,,,,,CA,,,2020-03-19
10549,13846,Default,,,,,UT,,,2020-03-19
10550,13847,Default,St. George Field Office,345 East Riverside Drive,,St. George,UT,84790,USA,2020-03-19
10551,13848,Default,,,,,AZ,,,2020-03-19
10552,13849,Default,145 Fish Hatchery Road,,,Celina,TN,38551,USA,2020-03-19
10553,13850,Default,Battle Mountain District Office,,50 Bastian Road ,Battle Mountain,NV,89820,USA,2020-03-19
10554,13851,Default,,,,,UT,,,2020-03-19
10555,13852,Default,Safford Field Office,711 14th Avenue,,Safford,AZ,85546,USA,2020-03-19
10556,13853,Default,,,,,WY,,,2020-03-19
10557,13854,Default,Pocatello Field Office,4350 Cliffs Dr,,Pocatello,ID,83204,USA,2020-03-19
10558,13855,Default,Pocatello Field Office,4350 Cliffs Dr,,Pocatello,ID,83204,USA,2020-03-19
10559,13856,Default,Pocatello Field Office ,4350 Cliffs Dr,,Pocatello,ID,83204,USA,2020-03-19
10560,13857,Default,,,,,SD,,,2020-03-19
10561,13858,Default,,,,,WA,,,2020-03-19
10562,13859,Default,,,,,CA,,,2020-03-19
10563,13859,Default,,,,,OR,,,2020-03-19
10564,13860,Default,,,,,WV,,,2020-03-19
10565,13861,Default,Price Field Office,125 South 600 West,,Price,UT,84501,USA,2020-03-19
10566,13862,Default,,,,,WA,,,2020-03-19
10567,13863,Default,,,,,AR,,,2020-03-19
10568,13864,Default,Monticello Field Office,365 North Main,,Monticello,UT,84535,USA,2020-03-19
10569,13865,Default,,,,,MT,,,2020-03-19
10570,13866,Default,,,,,MO,,,2020-03-19
10571,13867,Default,,,,,CA,,,2020-03-19
10572,13868,Default,,,,,NM,,,2020-03-19
10573,13869,Default,Vernal Field Office,170 South 500 East,,Vernal,UT,84078,USA,2020-03-19
10574,13870,Default,,,,,AR,,,2020-03-19
10575,13870,Default,,,,,OK,,,2020-03-19
10576,13871,Default,,,,,AR,,,2020-03-19
