ActivityID,ActivityDescription,ActivityFeeDescription,EntityID,EntityType
9,"Fire rings, tables",$5.00/night,10004620,Campground
11,,,10004620,Campground
14,,,10004620,Campground
15,Two horse corrals ,"$10/night, call ahead to confirm availability",10004620,Campground
22,,,10004620,Campground
23,,,10004620,Campground
104,,,10004620,Campground
9,,,10004719,Rec Area
14,,,10004719,Rec Area
16,,,10004719,Rec Area
110,,,10004719,Rec Area
9,,,10004875,Rec Area
16,,,10004875,Rec Area
18,,,10004875,Rec Area
5,Biking,,10004919,Campground
6,Boating,,10004919,Campground
9,Camping,,10004919,Campground
11,Fishing,,10004919,Campground
14,Hiking,,10004919,Campground
20,Picnicking,,10004919,Campground
28,Wilderness,,10004919,Campground
32,Day Use Area,,10004919,Campground
34,Swimming Site,,10004919,Campground
104,Photography,,10004919,Campground
106,Swimming,,10004919,Campground
100002,Mountain Biking,,10004919,Campground
100007,Kayaking,,10004919,Campground
100008,Canoeing,,10004919,Campground
100015,Star Gazing,,10004919,Campground
100019,Water Access,,10004919,Campground
100021,Antiquing,,10004919,Campground
100029,Scenic Drive,,10004919,Campground
100032,Rafting,,10004919,Campground
100034,Whitewater Rafting,,10004919,Campground
100042,Mushroom Picking,,10004919,Campground
100045,Tubing,,10004919,Campground
100049,Accessible Swimming,,10004919,Campground
6,Boating,,10004932,Campground
11,Fishing,,10004932,Campground
100007,Kayaking,,10004932,Campground
100008,Canoeing,,10004932,Campground
100019,Water Access,,10004932,Campground
11,Fishing,,10005414,Campground
14,Hiking,,10005414,Campground
15,Horseback Riding,,10005414,Campground
24,Visitor Center,,10005414,Campground
38,Other Recreation Concession Site,,10005414,Campground
105,Paddling,,10005414,Campground
100008,Canoeing,,10005414,Campground
100018,Non-Motorized Boating,,10005414,Campground
100019,Water Access,,10005414,Campground
100036,Backpacking,,10005414,Campground
100063,Off Highway Vehicle Trails,,10005414,Campground
4,,,10005515,Rec Area
14,,,10005515,Rec Area
16,,,10005515,Rec Area
26,,,10005515,Rec Area
104,,,10005515,Rec Area
9,,,10005523,Campground
20,,,10005523,Campground
104,,,10005523,Campground
14,,,10005782,Facility
26,,,10005782,Facility
28,,,10005782,Facility
14,,,10005808,Facility
15,,,10005808,Facility
26,,,10005808,Facility
28,,,10005808,Facility
5,Biking,,10005977,Campground
6,Boating,,10005977,Campground
11,Fishing,,10005977,Campground
14,Hiking,,10005977,Campground
20,Picnicking,,10005977,Campground
32,Day Use Area,,10005977,Campground
106,Swimming,,10005977,Campground
100019,Water Access,,10005977,Campground
5,Biking,,10006149,Campground
6,Boating,,10006149,Campground
9,Camping,,10006149,Campground
11,Fishing,,10006149,Campground
16,Hunting,,10006149,Campground
24,Visitor Center,,10006149,Campground
32,Day Use Area,,10006149,Campground
103,Environmental Education,,10006149,Campground
100007,Kayaking,,10006149,Campground
100008,Canoeing,,10006149,Campground
100017,Birding,,10006149,Campground
100021,Antiquing,,10006149,Campground
100024,Disc Golf,,10006149,Campground
14,"day hiking, backpacking (advance permit only)",$6.00 per person and dog,10006175,Facility
28,,,10006175,Facility
104,,,10006175,Facility
9,,,10006177,Facility
14,,,10006177,Facility
16,,,10006177,Facility
26,,,10006177,Facility
103,,,10006177,Facility
104,,,10006177,Facility
11,Fishing,,10006204,Campground
14,Hiking,,10006204,Campground
16,Hunting,,10006204,Campground
26,Wildlife Viewing,,10006204,Campground
100002,Mountain Biking,,10006204,Campground
100003,Off Road Vehicle Trails,,10006204,Campground
100009,Berry Picking,,10006204,Campground
100063,Off Highway Vehicle Trails,,10006204,Campground
5,Biking,,10006206,Campground
6,Boating,,10006206,Campground
11,Fishing,,10006206,Campground
14,Hiking,,10006206,Campground
15,Horseback Riding,,10006206,Campground
26,Wildlife Viewing,,10006206,Campground
28,Wilderness,,10006206,Campground
38,Other Recreation Concession Site,,10006206,Campground
104,Photography,,10006206,Campground
106,Swimming,,10006206,Campground
100000,Motor Boat,,10006206,Campground
100006,Water Activities,,10006206,Campground
100008,Canoeing,,10006206,Campground
100011,Beachcombing,,10006206,Campground
100017,Birding,,10006206,Campground
100018,Non-Motorized Boating,,10006206,Campground
100019,Water Access,,10006206,Campground
100022,Jet Skiing,,10006206,Campground
100023,Water Skiing,,10006206,Campground
100029,Scenic Drive,,10006206,Campground
100036,Backpacking,,10006206,Campground
100049,Accessible Swimming,,10006206,Campground
100058,Wood Cutting,,10006206,Campground
15,,,10006211,Facility
18,,,10006211,Facility
14,,,10006213,Facility
100002,,,10006213,Facility
14,,,10006215,Facility
15,,,10006215,Facility
18,,,10006215,Facility
100002,,,10006215,Facility
14,,,10006930,Facility
15,,,10007099,Facility
9,,,10007101,Facility
5,Biking,,10007130,Campground
8,Historic & Cultural Site,,10007130,Campground
9,Camping,,10007130,Campground
10,Interpretive Programs,,10007130,Campground
11,Fishing,,10007130,Campground
14,Hiking,,10007130,Campground
24,Visitor Center,,10007130,Campground
26,Wildlife Viewing,,10007130,Campground
32,Day Use Area,,10007130,Campground
104,Photography,,10007130,Campground
100017,Birding,,10007130,Campground
100029,Scenic Drive,,10007130,Campground
100036,Backpacking,,10007130,Campground
8,Historic & Cultural Site,,10007156,Campground
10,Interpretive Programs,,10007156,Campground
14,Hiking,,10007156,Campground
100027,Guided Interpretive Walks,,10007156,Campground
100036,Backpacking,,10007156,Campground
8,Historic & Cultural Site,,10007160,Campground
9,Camping,,10007160,Campground
11,Fishing,,10007160,Campground
14,Hiking,,10007160,Campground
16,Hunting,,10007160,Campground
20,Picnicking,,10007160,Campground
26,Wildlife Viewing,,10007160,Campground
30,Fire Lookouts/Cabins Overnight,,10007160,Campground
104,Photography,,10007160,Campground
100002,Mountain Biking,,10007160,Campground
100009,Berry Picking,,10007160,Campground
100017,Birding,,10007160,Campground
100029,Scenic Drive,,10007160,Campground
100042,Mushroom Picking,,10007160,Campground
100052,Lookout Tower,,10007160,Campground
10,Interpretive Programs,,10007207,Campground
34,Swimming Site,,10007207,Campground
106,Swimming,,10007207,Campground
100006,Water Activities,,10007207,Campground
100027,Guided Interpretive Walks,,10007207,Campground
100036,Backpacking,,10007207,Campground
100049,Accessible Swimming,,10007207,Campground
5,,,10007458,Facility
9,,,10007458,Facility
11,,,10007458,Facility
14,,,10007458,Facility
15,,,10007458,Facility
23,,,10007458,Facility
26,,,10007458,Facility
5,,,10007460,Facility
7,,,10007460,Facility
9,,,10007460,Facility
25,,,10007460,Facility
26,,,10007460,Facility
5,,,10007462,Facility
9,,,10007462,Facility
11,,,10007462,Facility
14,,,10007462,Facility
15,,,10007462,Facility
22,,,10007462,Facility
23,,,10007462,Facility
26,,,10007462,Facility
106,,,10007462,Facility
14,,,10007957,Facility
15,,,10007957,Facility
100002,,,10007957,Facility
14,,,10007963,Facility
20,,,10007963,Facility
18,,,10007964,Facility
14,Hiking Trail - Average Hike Time is 1.5 to 2 hours one way Length: 2.1 miles one way,,10008019,Facility
14,,,10008118,Facility
100002,,,10008118,Facility
9,,$12/night,10009273,Facility
11,,,10009273,Facility
14,,,10009273,Facility
20,,,10009273,Facility
22,,,10009273,Facility
26,,,10009273,Facility
32,,,10009273,Facility
104,,,10009273,Facility
7,Climbing,,10009517,Campground
14,Hiking,,10009517,Campground
20,Picnicking,,10009517,Campground
32,Day Use Area,,10009517,Campground
104,Photography,,10009517,Campground
100002,Mountain Biking,,10009517,Campground
100041,Rock Climbing,,10009517,Campground
14,,,10010177,Facility
24,,,10010177,Facility
9,,,10011352,Facility
11,,,10011352,Facility
16,,,10011352,Facility
20,,,10011352,Facility
26,,,10011352,Facility
32,,,10011352,Facility
9,Camping,,10011396,Campground
11,Fishing,,10011396,Campground
14,Hiking,,10011396,Campground
15,Horseback Riding,,10011396,Campground
16,Hunting,,10011396,Campground
104,Photography,,10011396,Campground
109,Horse Camping,,10011396,Campground
100002,Mountain Biking,,10011396,Campground
100015,Star Gazing,,10011396,Campground
100017,Birding,,10011396,Campground
100029,Scenic Drive,,10011396,Campground
100036,Backpacking,,10011396,Campground
4,,,10011522,Facility
8,,,10011522,Facility
104,,,10011522,Facility
6,,,10011715,Rec Area
9,,,10011715,Rec Area
14,,,10011715,Rec Area
20,,,10011715,Rec Area
106,,,10011715,Rec Area
8,,,10012,Rec Area
6,Boating,,10012078,Campground
9,Camping,,10012078,Campground
11,Fishing,,10012078,Campground
20,Picnicking,,10012078,Campground
26,Wildlife Viewing,,10012078,Campground
104,Photography,,10012078,Campground
100019,Water Access,,10012078,Campground
100049,Accessible Swimming,,10012078,Campground
6,Boating,,10012141,Campground
9,Camping,,10012141,Campground
100004,Ranger Station,,10012141,Campground
100032,Rafting,,10012141,Campground
100034,Whitewater Rafting,,10012141,Campground
27,,,10012351,Facility
103,,,10012351,Facility
8,,,10013,Rec Area
8,,,10015,Rec Area
8,,,10016,Rec Area
8,,,10017,Rec Area
8,,,10018,Rec Area
8,,,10019,Rec Area
8,,,10020,Rec Area
8,,,10021,Rec Area
30,,,10021026,Facility
8,,,10022,Rec Area
8,,,10023,Rec Area
8,,,10024,Rec Area
8,,,10025,Rec Area
8,,,10028,Rec Area
4,,,10028545,Facility
8,,,10028545,Facility
104,,,10028545,Facility
8,,,10028553,Facility
104,,,10028553,Facility
4,,,10028561,Facility
8,,,10028561,Facility
14,,,10028561,Facility
26,,,10028561,Facility
39,,,10028561,Facility
104,,,10028561,Facility
4,,,10028569,Facility
5,,,10028569,Facility
8,,,10028569,Facility
20,,,10028569,Facility
26,,,10028569,Facility
104,,,10028569,Facility
4,,,10028577,Facility
8,,,10028577,Facility
104,,,10028577,Facility
4,,,10028585,Facility
5,,,10028585,Facility
8,,,10028585,Facility
26,,,10028585,Facility
104,,,10028585,Facility
4,,,10028593,Facility
8,,,10028593,Facility
104,,,10028593,Facility
4,,,10028601,Facility
5,,,10028601,Facility
8,,,10028601,Facility
104,,,10028601,Facility
4,,,10028609,Facility
8,,,10028609,Facility
104,,,10028609,Facility
4,,,10028617,Facility
5,,,10028617,Facility
7,,,10028617,Facility
8,,,10028617,Facility
14,,,10028617,Facility
26,,,10028617,Facility
28,,,10028617,Facility
104,,,10028617,Facility
100002,,,10028617,Facility
4,,,10028625,Facility
8,,,10028625,Facility
104,,,10028625,Facility
6,Boating,,10028875,Campground
9,Camping,,10028875,Campground
10,Interpretive Programs,,10028875,Campground
14,Hiking,,10028875,Campground
24,Visitor Center,,10028875,Campground
26,Wildlife Viewing,,10028875,Campground
100007,Kayaking,,10028875,Campground
100008,Canoeing,,10028875,Campground
100017,Birding,,10028875,Campground
100036,Backpacking,,10028875,Campground
11,Fishing,,10028991,Campground
14,Hiking,,10028991,Campground
20,Picnicking,,10028991,Campground
100019,Water Access,,10028991,Campground
8,,,10029,Rec Area
5,Biking,,10029004,Campground
11,Fishing,,10029004,Campground
20,Picnicking,,10029004,Campground
26,Wildlife Viewing,,10029004,Campground
32,Day Use Area,,10029004,Campground
100007,Kayaking,,10029004,Campground
100008,Canoeing,,10029004,Campground
100019,Water Access,,10029004,Campground
100032,Rafting,,10029004,Campground
5,Biking,,10029012,Campground
6,Boating,,10029012,Campground
9,Camping,,10029012,Campground
11,Fishing,,10029012,Campground
20,Picnicking,,10029012,Campground
32,Day Use Area,,10029012,Campground
100008,Canoeing,,10029012,Campground
100017,Birding,,10029012,Campground
100019,Water Access,,10029012,Campground
100032,Rafting,,10029012,Campground
11,,,10029999,Facility
20,,,10029999,Facility
27,,,10029999,Facility
41,,,10029999,Facility
103,,,10029999,Facility
20,,,10030004,Facility
27,,,10030004,Facility
27,,,10030668,Facility
31,,,10030668,Facility
41,,,10030668,Facility
103,,,10030668,Facility
20,,,10030672,Facility
27,,,10030672,Facility
31,,,10030672,Facility
41,,,10030672,Facility
103,,,10030672,Facility
9,,,10031,Rec Area
11,,,10031,Rec Area
20,,,10031,Rec Area
26,,,10031,Rec Area
32,,,10031,Rec Area
34,,,10031,Rec Area
104,,,10031,Rec Area
106,,,10031,Rec Area
9,Camping,,10032028,Campground
11,Fishing,,10032028,Campground
14,Hiking,,10032028,Campground
26,Wildlife Viewing,,10032028,Campground
104,Photography,,10032028,Campground
100002,Mountain Biking,,10032028,Campground
100007,Kayaking,,10032028,Campground
100008,Canoeing,,10032028,Campground
100015,Star Gazing,,10032028,Campground
100043,Amphitheater,,10032028,Campground
9,,,10034,Rec Area
11,,,10034,Rec Area
20,,,10034,Rec Area
25,,,10034,Rec Area
11,,,10035,Rec Area
14,,,10035,Rec Area
20,,,10035,Rec Area
26,,,10035,Rec Area
9,,,10037,Rec Area
14,,,10037,Rec Area
20,,,10037,Rec Area
25,,,10037,Rec Area
26,,,10037,Rec Area
32,,,10037,Rec Area
14,,,10037257,Facility
15,,,10037257,Facility
20,,,10037257,Facility
26,,,10037257,Facility
105,,,10037257,Facility
11,,,10038,Rec Area
14,,,10038,Rec Area
20,,,10038,Rec Area
26,,,10038,Rec Area
9,,,10038314,Facility
16,,,10038314,Facility
18,,,10038314,Facility
14,,,10038347,Facility
15,,,10038347,Facility
16,,,10038347,Facility
28,,,10038347,Facility
10,,,10038511,Facility
24,,,10038511,Facility
11,,,10038578,Rec Area
14,,,10038578,Rec Area
26,,,10038578,Rec Area
104,,,10038578,Rec Area
4,,,10038589,Facility
8,,,10038589,Facility
26,,,10038589,Facility
39,,,10038589,Facility
104,,,10038589,Facility
9,,,10038606,Rec Area
14,,,10038606,Rec Area
28,,,10038606,Rec Area
5,Biking,,10038712,Campground
6,Boating,,10038712,Campground
9,Camping,,10038712,Campground
11,Fishing,,10038712,Campground
14,Hiking,,10038712,Campground
16,Hunting,,10038712,Campground
20,Picnicking,,10038712,Campground
26,Wildlife Viewing,,10038712,Campground
32,Day Use Area,,10038712,Campground
105,Paddling,,10038712,Campground
100000,Motor Boat,,10038712,Campground
100007,Kayaking,,10038712,Campground
100008,Canoeing,,10038712,Campground
100015,Star Gazing,,10038712,Campground
100017,Birding,,10038712,Campground
100018,Non-Motorized Boating,,10038712,Campground
100019,Water Access,,10038712,Campground
100029,Scenic Drive,,10038712,Campground
5,Biking,,10038733,Campground
7,Climbing,,10038733,Campground
9,Camping,,10038733,Campground
14,Hiking,,10038733,Campground
16,Hunting,,10038733,Campground
20,Picnicking,,10038733,Campground
24,Visitor Center,,10038733,Campground
26,Wildlife Viewing,,10038733,Campground
28,Wilderness,,10038733,Campground
103,Environmental Education,,10038733,Campground
104,Photography,,10038733,Campground
100007,Kayaking,,10038733,Campground
100008,Canoeing,,10038733,Campground
100017,Birding,,10038733,Campground
100036,Backpacking,,10038733,Campground
100041,Rock Climbing,,10038733,Campground
5,Biking,,10038827,Campground
9,Camping,,10038827,Campground
14,Hiking,,10038827,Campground
20,Picnicking,,10038827,Campground
100017,Birding,,10038827,Campground
100019,Water Access,,10038827,Campground
5,Biking,,10038964,Campground
9,Camping,,10038964,Campground
11,Fishing,,10038964,Campground
14,Hiking,,10038964,Campground
20,Picnicking,,10038964,Campground
32,Day Use Area,,10038964,Campground
100002,Mountain Biking,,10038964,Campground
100017,Birding,,10038964,Campground
100036,Backpacking,,10038964,Campground
5,Biking,,10038980,Campground
6,Boating,,10038980,Campground
9,Camping,,10038980,Campground
11,Fishing,,10038980,Campground
16,Hunting,,10038980,Campground
26,Wildlife Viewing,,10038980,Campground
6,,,10039,Rec Area
9,,,10039,Rec Area
11,,,10039,Rec Area
14,,,10039,Rec Area
22,,,10039115,Facility
4,,,10039204,Facility
5,,,10039204,Facility
9,,,10039204,Facility
11,,,10039204,Facility
14,,,10039204,Facility
104,,,10039204,Facility
4,,,10039215,Facility
9,,,10039215,Facility
11,,,10039215,Facility
20,,,10039215,Facility
104,,,10039215,Facility
4,,,10039225,Facility
5,,,10039225,Facility
9,,,10039225,Facility
11,,,10039225,Facility
104,,,10039225,Facility
4,,,10039234,Facility
5,,,10039234,Facility
7,,,10039234,Facility
11,,,10039234,Facility
32,,,10039234,Facility
104,,,10039234,Facility
4,,,10039245,Facility
5,,,10039245,Facility
9,,,10039245,Facility
11,,,10039245,Facility
104,,,10039245,Facility
4,,,10039255,Facility
5,,,10039255,Facility
9,,,10039255,Facility
11,,,10039255,Facility
32,,,10039255,Facility
104,,,10039255,Facility
5,,,10039266,Facility
11,,,10039266,Facility
14,,,10039266,Facility
20,,,10039266,Facility
32,,,10039266,Facility
104,,,10039266,Facility
6,"<p>	Roosevelt Lake</p>",,10039303,Facility
11,"<p>	Roosevelt Lake Fish Species:  Largemouth and Smallmouth Bass; Crappie; Sunfish; Channel and Flathead Catfish</p>",,10039303,Facility
20,"<p>54 camp units with picnic tables and fire rings with grills. A paved boat launch ramp nearby is useable when the lake water elevation exceeds 210 feet.</p>",,10039303,Facility
14,,,10039633,Facility
15,,,10039633,Facility
18,,,10039633,Facility
8,,,10039798,Rec Area
14,,,10039798,Rec Area
26,,,10039798,Rec Area
9,Camping,,10039838,Campground
11,Fishing,,10039838,Campground
14,Hiking,,10039838,Campground
20,Picnicking,,10039838,Campground
28,Wilderness,,10039838,Campground
104,Photography,,10039838,Campground
100002,Mountain Biking,,10039838,Campground
100006,Water Activities,,10039838,Campground
100008,Canoeing,,10039838,Campground
100019,Water Access,,10039838,Campground
100029,Scenic Drive,,10039838,Campground
5,Biking,,10039845,Campground
6,Boating,,10039845,Campground
9,Camping,,10039845,Campground
11,Fishing,,10039845,Campground
14,Hiking,,10039845,Campground
100008,Canoeing,,10039845,Campground
6,Boating,,10039857,Campground
9,Camping,,10039857,Campground
11,Fishing,,10039857,Campground
14,Hiking,,10039857,Campground
26,Wildlife Viewing,,10039857,Campground
34,Swimming Site,,10039857,Campground
100007,Kayaking,,10039857,Campground
100008,Canoeing,,10039857,Campground
5,Biking,,10039887,Campground
6,Boating,,10039887,Campground
9,Camping,,10039887,Campground
11,Fishing,,10039887,Campground
20,Picnicking,,10039887,Campground
25,Water Sports,,10039887,Campground
26,Wildlife Viewing,,10039887,Campground
32,Day Use Area,,10039887,Campground
105,Paddling,,10039887,Campground
106,Swimming,,10039887,Campground
100000,Motor Boat,,10039887,Campground
100004,Ranger Station,,10039887,Campground
100006,Water Activities,,10039887,Campground
100007,Kayaking,,10039887,Campground
100008,Canoeing,,10039887,Campground
100018,Non-Motorized Boating,,10039887,Campground
100019,Water Access,,10039887,Campground
100023,Water Skiing,,10039887,Campground
6,Boating,,10039993,Campground
9,Camping,,10039993,Campground
11,Fishing,,10039993,Campground
25,Water Sports,,10039993,Campground
105,Paddling,,10039993,Campground
106,Swimming,,10039993,Campground
100000,Motor Boat,,10039993,Campground
100006,Water Activities,,10039993,Campground
100008,Canoeing,,10039993,Campground
100019,Water Access,,10039993,Campground
100023,Water Skiing,,10039993,Campground
9,,,10040,Rec Area
14,,,10040,Rec Area
15,,,10040,Rec Area
26,,,10040,Rec Area
104,,,10040,Rec Area
5,Biking,,10040012,Campground
6,Boating,,10040012,Campground
9,Camping,,10040012,Campground
11,Fishing,,10040012,Campground
14,Hiking,,10040012,Campground
20,Picnicking,,10040012,Campground
25,Water Sports,,10040012,Campground
105,Paddling,,10040012,Campground
106,Swimming,,10040012,Campground
100002,Mountain Biking,,10040012,Campground
100004,Ranger Station,,10040012,Campground
100006,Water Activities,,10040012,Campground
100008,Canoeing,,10040012,Campground
100023,Water Skiing,,10040012,Campground
9,Camping,,10040020,Campground
11,Fishing,,10040020,Campground
14,Hiking,,10040020,Campground
26,Wildlife Viewing,,10040020,Campground
104,Photography,,10040020,Campground
100002,Mountain Biking,,10040020,Campground
100007,Kayaking,,10040020,Campground
100008,Canoeing,,10040020,Campground
100015,Star Gazing,,10040020,Campground
6,Boating,,10040022,Campground
9,Camping,,10040022,Campground
11,Fishing,,10040022,Campground
25,Water Sports,,10040022,Campground
105,Paddling,,10040022,Campground
100000,Motor Boat,,10040022,Campground
100006,Water Activities,,10040022,Campground
100007,Kayaking,,10040022,Campground
100008,Canoeing,,10040022,Campground
100023,Water Skiing,,10040022,Campground
5,Biking,,10040047,Campground
6,Boating,,10040047,Campground
9,Camping,,10040047,Campground
11,Fishing,,10040047,Campground
14,Hiking,,10040047,Campground
20,Picnicking,,10040047,Campground
25,Water Sports,,10040047,Campground
105,Paddling,,10040047,Campground
106,Swimming,,10040047,Campground
100000,Motor Boat,,10040047,Campground
100002,Mountain Biking,,10040047,Campground
100004,Ranger Station,,10040047,Campground
100006,Water Activities,,10040047,Campground
100007,Kayaking,,10040047,Campground
100008,Canoeing,,10040047,Campground
100023,Water Skiing,,10040047,Campground
7,,,10040227,Facility
