AttributeID,AttributeName,AttributeValue,EntityID,EntityType
49,Long Description,"Join our adventure on this moderate to easy ~2 mile hike to where the spring flowers thrive! While the exact location of this hike will depend on how the flower season progresses, you will still need the creative art materials of your choice, a lunch, and a sense of adventure. For some, art is more than drawing and painting. If art to you is taking photos or if you’re artistic inspiration comes from observing and meditating in nature, feel free to join us. Be prepared to visit the home of the flowers for several hours to ”Art” and experience the place at rest.",1018,Tour
62,Num of Steps,0,1018,Tour
66,Physical Effort,Moderate,1018,Tour
1,Accessibility,None,1019,Tour
3,Amenities,Restrooms available at the office.,1019,Tour
19,Directions To Tour,All tours begin at the Sweet Home Ranger District.,1019,Tour
21,Distance (miles),0,1019,Tour
43,Important Information,"<li>Date: May 23, 2014 <li>This hike leave promptly from the ranger district office at scheduled time (0900).  Please come prepared for a day in the forest, lunch, water, appropriate clothes, etc.",1019,Tour
49,Long Description,"Join our adventure on this moderate to easy ~2 mile hike to where the spring flowers thrive! While the exact location of this hike will depend on how the flower season progresses, you will still need the creative art materials of your choice, a lunch, and a sense of adventure. For some, art is more than drawing and painting. If art to you is taking photos or if you’re artistic inspiration comes from observing and meditating in nature, feel free to join us. Be prepared to visit the home of the flowers for several hours to ”Art” and experience the place at rest.",1019,Tour
62,Num of Steps,0,1019,Tour
66,Physical Effort,Easy,1019,Tour
49,Long Description,Interagency Annual Passport,102,Tour
49,Long Description,Senior Annual Pass,103,Tour
1,Accessibility,No,104,Tour
3,Amenities,No restrooms available.,104,Tour
19,Directions To Tour,All tours begin at visitor center.,104,Tour
21,Distance (miles),3,104,Tour
43,Important Information,Tour Park Facility Operational Hours: Tours run every day except Christmas Day.  Visitor Center closes early on Christmas Eve. Visitor Center hours vary with season.Children must be six years of age.  Only adults will carry the provided lanterns.  This trip has numerous hills without handrails and 160 steps will be encountered on the tour.  No flash photography or flashlights are allowed on this trip.,104,Tour
49,Long Description,Walk by lantern light through some of the caves largest passages as guides recreate the experiences of the first visitors in the 1800s. See evidence of saltpeter production an underground hospital and prehistoric mineral mining. <b>Note</b>: Mammoth Cave does not offer the Violet City Lantern Tour year-round. Please check the <a href=https://www.nps.gov/maca/planyourvisit/gocavetours.htm>current program schedule</a>.,104,Tour
62,Num of Steps,160,104,Tour
66,Physical Effort,Difficult,104,Tour
95,Tour Days / Hours Description,Seasonal.,104,Tour
96,Tour Days of Week,Sunday,104,Tour
1,Accessibility,None. ,105,Tour
3,Amenities,No restrooms are available.,105,Tour
19,Directions To Tour,All tours begin at the Visitor Center.,105,Tour
21,Distance (miles),2.5,105,Tour
43,Important Information,Tour Park Facility Operational Hours: Tours run every day except Christmas Day.  Visitor Center closes early on Christmas Eve. Visitor Center hours vary with season.This trip has an elevation change of nearly 360 feet and descends and climbs over 500 steps.  Low light in river passage.,105,Tour
49,Long Description,Trace the stages of cave development from solid layers of limestone to the worlds longest known cave system. Follow the course of water from ridge top to river bottom and witness the persistence and power required to create this geologic marvel. <b>Note</b>: Mammoth Cave does not offer the River Styx Tour year-round. Please check the <a href=https://www.nps.gov/maca/planyourvisit/gocavetours.htm>current program schedule</a>.,105,Tour
62,Num of Steps,560,105,Tour
66,Physical Effort,Moderate,105,Tour
95,Tour Days / Hours Description,Seasonal.,105,Tour
96,Tour Days of Week,Sunday,105,Tour
1,Accessibility,Easy walking with limited stairs.,106,Tour
3,Amenities,No restrooms are available.,106,Tour
19,Directions To Tour,All tours begin at the Visitor Center.,106,Tour
21,Distance (miles),.25,106,Tour
43,Important Information,Tour Park Facility Operational Hours: Tours run every day except Christmas Day.  Visitor Center closes early on Christmas Eve. Visitor Center hours vary with season.This trip has a total of twelve steps and a short ramp at the entrance.  There are 49 optional steps at the Drapery Room resulting in an elevation change of 40 feet.,106,Tour
49,Long Description,Depart by bus and journey over the top of the cave to the Frozen Niagara Entrance.  This entrance created in 1924 makes it possible to see this decorative area of the cave.,106,Tour
62,Num of Steps,18,106,Tour
66,Physical Effort,Easy,106,Tour
95,Tour Days / Hours Description,Daily (except for Christmas Day),106,Tour
96,Tour Days of Week,Sunday,106,Tour
1,Accessibility,No,107,Tour
3,Amenities,No restrooms available,107,Tour
19,Directions To Tour,All tours begin at visitor center,107,Tour
21,Distance (miles),0.75,107,Tour
43,Important Information,Tour Park Facility Operational Hours:  Tours run every day except Christmas Day.  Visitor Center closes early on Christmas Eve.  Visitor Center tours may vary with season.  ,107,Tour
49,Long Description,"Follow your guide to the Historic Entrance where the cave was first discovered more that 4,000 years ago.  Entering the cave, imagine early visitors as they walked through these Mammoth Passages  Visit one of the largest rooms in the cave and see remains of an early saltpeter mining operation.",107,Tour
62,Num of Steps,160,107,Tour
66,Physical Effort,Moderate,107,Tour
96,Tour Days of Week,Sunday,107,Tour
1,Accessibility,No,108,Tour
3,Amenities,No restrooms available,108,Tour
19,Directions To Tour,All tours begin at visitor center,108,Tour
21,Distance (miles),0.75,108,Tour
43,Important Information,Tour Park Facility Operational Hours:  Tours run every day except Christmas Day.  Visitor Center closes early on Christmas Eve.  Visitor Center tours may vary with season.  ,108,Tour
49,Long Description,"Visit the Rotunda, one of the largest rooms in the cave; explore a vast canyon passageway; and learn about 19th-century saltpeter mining operations and the geologic origins of Mammoth Cave on this self-guiding tour.",108,Tour
62,Num of Steps,160,108,Tour
66,Physical Effort,Moderate,108,Tour
96,Tour Days of Week,Sunday,108,Tour
1,Accessibility,No,109,Tour
3,Amenities,Restrooms available,109,Tour
19,Directions To Tour,All tours begin at visitor center,109,Tour
21,Distance (miles),2,109,Tour
43,Important Information,Tour Park Facility Operational Hours:  Tours run every day except Christmas Day.  Visitor Center closes early on Christmas Eve.  Visitor Center tours may vary with season.,109,Tour
49,Long Description,"Descend and ascend nearly 200 stairs at the Carmichael Entrance of Mammoth Cave, pass the craggy breakdown of the Rocky Mountains and enter gypsum encrusted Cleaveland Avenue. <b>Note</b>: Mammoth Cave does not offer the Snowball Tour year-round. Please check the <a href=https://www.nps.gov/maca/planyourvisit/gocavetours.htm>current program schedule</a>.",109,Tour
66,Physical Effort,Moderate,109,Tour
96,Tour Days of Week,Sunday,109,Tour
1,Accessibility,"The boat is accessible, and while the Hotel is not immediately accessible, arrangements can be made to enter the main level of the hotel and dining room.",11,Tour
3,Amenities,Lunch may be purchased at the Hotel but is not included in the tour price. ,11,Tour
19,Directions To Tour,"Boards at the Kabetogama Lake Visitor center, 9940 cedar lane, Kabetogama, MN. 56669. From Duluth MN., drive 2.5 hours to County Road 122. Take a right on County Road 122 and travel 2.5 miles to the Kabetogama Lake Visitor Center. The Tour boat is just outside the visitor center.",11,Tour
21,Distance (miles),40,11,Tour
43,Important Information,"Check in for tour 30 minutes prior to departure. No smoking. Food is not allowed on the boat but water is. There is no restroom aboard the boat. Jackets, mosquito spray, and sunscreen are recommended.",11,Tour
49,Long Description,"Boards at the Kabetogama Lake Visitor center, 9940 cedar lane, Kabetogama, MN. 56669. Voyage to the Historic Kettle Falls Hotel. This tour takes you on a cultural and natural history tour of the park. Spend 2 hours aboard the Tour Boat getting to the hotel. Once at the hotel spend 2 hours on land dining and touring the site and nearby dam. Then spend 1.5 hours on your return route.Tour runs Sun, Mon, Weds, Thurs, Friday, at 10am, June 25 to August 31.<br />Tour runs Sun, Mon, Friday, at 10am, September 1 to September 25.",11,Tour
62,Num of Steps,8,11,Tour
66,Physical Effort,Moderate,11,Tour
95,Tour Days / Hours Description,"June 17th to Sept 3 Su,M,W,Th,F 10:00 am - 3:30 pm, Sept 6-23rd Su, Th, F, 10:00 am - 3:30 pm",11,Tour
96,Tour Days of Week,Sunday,11,Tour
49,Long Description,Standing General Admission,110,Tour
19,Directions To Tour,All tours leave from the Visitor Center.,115,Tour
21,Distance (miles),1,115,Tour
43,Important Information," Sturdy walking shoes recommended.  Temperature in the cave is 54 degrees farenheit.  Tour Park facility operational hours: Tours run every day except Christmas Day.  Visitor Center closes early on Christmas Eve. Visitor Center hours vary with season.  If you fear heights or close places and/or cannot climb steps, this tour is not recommended.  This tour has an elevation change of 140 feet and will involve 230 steps.",115,Tour
49,Long Description,"Some areas of Mammoth Cave just seem magical, and Gothic Avenue is one of those special places. This tour begins at the Visitor Center and enters the famous Historic Entrance and passes through the Rotunda and the Church. The tour enters Gothic Avenue, one of the most historically significant passageways in the cave. This area showcases hundreds of examples of visitor experiences still visible today, from the multitude of nineteenth-century candle-written signatures to the dozens and dozens of stone monuments left behind by visitors nearly 200 years ago. Portions of this tour are also seen on the Star Chamber, Historic and Violet City Lantern Tours. <b>Note</b>: Mammoth Cave does not offer the Gothic Avenue Tour year-round. Please check the <a href=https://www.nps.gov/maca/planyourvisit/gocavetours.htm>current program schedule</a>.",115,Tour
62,Num of Steps,230,115,Tour
66,Physical Effort,Moderate,115,Tour
95,Tour Days / Hours Description,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",115,Tour
96,Tour Days of Week,Sunday,115,Tour
3,Amenities,"Restrooms are available at the Fiery Furnace Viewpoint. No restroom facilities are available in the Fiery Furnace. Food, gas lodging and other services are not available in Arches National Park. Services are available in the town of Moab, 5 miles from the park entrance. ",116,Tour
19,Directions To Tour,"After checking in at the visitor center, travel 15 miles along the main park road to the Fiery Furnace viewpoint.",116,Tour
21,Distance (miles),2,116,Tour
43,Important Information,"Reservation holders <b>must</b> pick up their <b>tickets</b> at the visitor center information desk <b> at least 1 hour prior to tour time</b> or up to four days in advance. Late arrival may result in forfeiting your reserved tour.<b> No refunds for late arrivals</b>. Expect possible delays at park entrance booth and on park roads.<br/><br/>Children under 5 years of age are <b>not allowed</b>. Children 12 and under must be accompanied by a responsible adult. In addition, one adult is required for each child 5 and 6 years of age.<br/><br/>Visitors must be able to use hands and feet to scramble up and through narrow cracks. Good footwear is a must. Bring at least one quart of water per person. There is no food or water available at the viewpoint.<br/><br/><p>For more information and photos of Arches National Park, please click <a href=http://www.nps.gov/arch/planyourvisit/programs.htm>here</a>.<br/>For camping reservations in Arches, please click <a href=http://www.recreation.gov/camping/Devils_Garden_Campground_Ut/r/campgroundDetails.do?contractCode=NRSO&parkId=74066&topTabIndex=CampingSpot>here</a>.</p>",116,Tour
49,Long Description,"The Fiery Furnace is a confusing maze of high sandstone fins where it is very easy to become lost. Ranger-guided hikes are offered into the Fiery Furnace daily, spring through fall. These popular 2<sup>1/2</sup> hour hikes are moderately strenuous, requiring the occasional use of hands to scramble up and through narrow cracks and along narrow ledges above drop-offs. Visitors must wear good hiking shoes and bring at least one quart of water per person.<br><p>For more information and photos of Arches National Park, please click <a href=http://www.nps.gov/arch/planyourvisit/programs.htm>here</a>.<br>For camping reservations in Arches, please click <a href=http://www.recreation.gov/camping/Devils_Garden_Campground_Ut/r/campgroundDetails.do?contractCode=NRSO&parkId=74066&topTabIndex=CampingSpot>here</a>.</p>",116,Tour
66,Physical Effort,Difficult,116,Tour
95,Tour Days / Hours Description,Daily,116,Tour
96,Tour Days of Week,Sunday,116,Tour
1,Accessibility,There are ADA accesabile restrooms at each trailhead but the trails themselves are not ADA accessable ,117,Tour
3,Amenities,"There are ADA accesabile restrooms at each trailhead and picnic tables at the Painted Rock Trailhead for lunch.  No Trash service is available so be prepared to pack out your own garbage. There is no water available, bring your own. ",117,Tour
19,Directions To Tour,"From Hwy 58 turn South on Soda Lake Road and travel 15 miles to the Goodwin Education Center.  From Hwy 166 turn north on Soda Lake Road and travel 35 miles until you reach the Goodwin Education Center. <br><br>Once you arrive at the Goodwin Education Center, look for the sign Parking for Painted Rock Tour and park there, please do not park in the education center parking lot.  Once you have parked your vehicle, please check in at the Goodwin Education Center.",117,Tour
21,Distance (miles),3,117,Tour
43,Important Information,"Wear sturdy shoes for hiking.  Bring lunch and plenty of water. Carpool whenever possible.  Be prepared for intense heat and sun; bring a hat and sunscreen.There is a possibility of muddy roads and changeable weather.<b>Pets are not allowed at Painted Rock.</b>Rattlesnakes are commonly seen on the trail and at Painted Rock.                    <ul>                        <li>Dont deface cultural sites by carving, painting, drawing or shooting.</li><li>Dont dig or otherwise disturb the ground surface in or near cultural sites.</li><li>Dont touch or climb sandstone outcrops, many of which contain cultural features.  Contact with the sandstone damages the mineral crust which protects the stone from erosion.</li><li>Dont move, remove or arrange stones, wood or other features.  The precise original location of objects is important to our understanding of their significance.</li><li>Dont damage historical buildings and objects by climbing or entering them.</li><li>Dont disturb nesting birds, bats or other wildlife.</li><li>Dont place caches in or near cultural sites.</li><li>Please respect closure orders.  These areas are closed to protect exceptionally sensitive cultural and natural resources.  Unauthorized entry will be prosecuted under Federal regulations 43 CFR 8364.1 (d).</li><li>Cultural sites on Federal lands are legally protected under the Archaeological Resources Protection Act and violation could result in fines and imprisonment.</li><li>Please assist us in protecting these often fragile and vulnerable places by being good stewards of your public lands.</li></ul>",117,Tour
49,Long Description,"The tour begins at the Goodwin Education Center. After an introduction and brief history, the group caravans to the Painted Rock parking lot for lunch (Participants provide own sack lunch).  After lunch, the group hikes approximately 2/3 mile to Painted Rock. Although the path does not have a significant change in elevation, it is not handicapped accessible. Time spent within the Painted Rock alcove may be limited to protect prairie falcons or other nesting birds. The tour then returns and ends at the Goodwin Education Center.<br><br>Painted Rock Guided Tour is offered on Saturdays from the Third Saturday in March to the Last Saturday in May (Tours may be cancelled due to rainy weather and impassible roads).<br><br>During this tour your time within the alcove of Painted Rock may be limited, cut short or canceled due to nesting birds.<br /><br />Groups of 20 or more must contact the Bureau of Land Management at 661-391-6088 before making a reservation.",117,Tour
66,Physical Effort,Moderate,117,Tour
95,Tour Days / Hours Description,Tour is offered on Saturdays from the Third Saturday in March to the Last Saturday in May (Tours may be cancelled due to rainy weather and impassibe roads).,117,Tour
96,Tour Days of Week,Saturday,117,Tour
1,Accessibility,There is an Accessible Restroom at the trail head but the trail itself is not. ,118,Tour
3,Amenities,The only aminity this tour has in a restroom at the trailhead.  There is no water.,118,Tour
19,Directions To Tour,"If you are approaching from Highway 58, we are located east of Santa Margarita and west of McKittrick. Turn south off of Hwy. 58 onto Soda Lake Road and continue for 13 miles, then turn right onto Painted Rock Road. If you are approaching from Highway 166/33, Soda Lake Road is near the top of the grade north of Cuyama and south of Maricopa. Look for the now-closed Reyes Station (the relict Union 76 gas station), which is at the intersection of Hwy. 166/33 and Soda Lake Road. Follow Soda Lake Road northwest for approximately 30 miles, then turn left onto Painted Rock Road. <br><br><b><font color=red>Important Information</font>: Tour dates earlier than the reservation are not available at Carrizo Plain National Monument. Also, there are no first-come first-served tours available at Carrizo Plain National Monument. All tour reservation must be booked through <a href=www.recreation.gov>www.recreation.gov.</a></b>",118,Tour
21,Distance (miles),2,118,Tour
43,Important Information,"Wear sturdy shoes for hiking.  Bring lunch and plenty of water. Carpool whenever possible.  Be prepared for intense heat and sun; bring a hat and sunscreen.There is a possibility of muddy roads and changeable weather.<b>Pets are not allowed at Painted Rock.</b>Rattlesnakes are commonly seen on the trail and at Painted Rock.                    <ul>                        <li>Dont deface cultural sites by carving, painting, drawing or shooting.</li><li>Dont dig or otherwise disturb the ground surface in or near cultural sites.</li><li>Dont touch or climb sandstone outcrops, many of which contain cultural features.  Contact with the sandstone damages the mineral crust which protects the stone from erosion.</li><li>Dont move, remove or arrange stones, wood or other features.  The precise original location of objects is important to our understanding of their significance.</li><li>Dont damage historical buildings and objects by climbing or entering them.</li><li>Dont disturb nesting birds, bats or other wildlife.</li><li>Dont place caches in or near cultural sites.</li><li>Please respect closure orders.  These areas are closed to protect exceptionally sensitive cultural and natural resources.  Unauthorized entry will be prosecuted under Federal regulations 43 CFR 8364.1 (d).</li><li>Cultural sites on Federal lands are legally protected under the Archaeological Resources Protection Act and violation could result in fines and imprisonment.</li><li>Please assist us in protecting these often fragile and vulnerable places by being good stewards of your public lands.</li></ul>",118,Tour
49,Long Description,"The sandstone formation at Painted Rock has long drawn the attention of Carrizo Plain visitors.  About 3,000 - 4,000 years ago, Native Americans began to paint their sacred images within the alcove of the rock.  Not surprisingly, the power of this place continues to enthrall, and it still receives many visitors today.The Painted Rock Self Guided Tour Gives you a unique experience you cannot get any other place in the world.  It is a 1.4 mile round trip hike where you get to experience Painted rock and its wonderful Native American Pictographs <br><br>Painted Rock Self Guided Tour is offered 7 days a week from July 16th to February 28th/29th.<br /><br />Groups of 20 or more must contact the Bureau of Land Management at 661-391-6088 before making a reservation.",118,Tour
66,Physical Effort,Moderate,118,Tour
95,Tour Days / Hours Description,7days a week.   dawn till dusk.    July 15th until March 1st,118,Tour
96,Tour Days of Week,Sunday,118,Tour
3,Amenities,Portable restrooms.,119,Tour
19,Directions To Tour,"If you are approaching from Highway 58, we are located east of Santa Margarita and west of McKittrick. Turn south off of Hwy. 58 onto Soda Lake Road and continue for 13 miles, then turn right onto Painted Rock Road. If you are approaching from Highway 166/33, Soda Lake Road is near the top of the grade north of Cuyama and south of Maricopa. Look for the now-closed Reyes Station (the relict Union 76 gas station), which is at the intersection of Hwy. 166/33 and Soda Lake Road. Follow Soda Lake Road northwest for approximately 30 miles, then turn left onto Painted Rock Road. <br><br><b> <font color=red>Important Information</font>: Tour dates earlier than the reservation are not available at Carrizo Plain National Monument. Also, there are no first-come first-served tours available at Carrizo Plain National Monument. All tour reservation must be booked through <a href=www.recreation.gov>www.recreation.gov.</a></b>",119,Tour
21,Distance (miles),1,119,Tour
43,Important Information,"This is a remote area with minimal facilities available. Handicapped accessible, public rest rooms are located at the Goodwin Education Center, Painted Rock Parking Area, Overlook, Selby Campground, KCL Campground and the Travers Ranch (see map for locations). There is no drinking water available. The nearest public phone is in California Valley, 15 miles north of the Goodwin Education Center on Soda Lake Road. Gas is available in Maricopa and Santa Margarita. Be sure to start your trip to the CPNM with a full tank of gasoline. Emergency services are available year round at the California Division of Forestry (CDF) Station at California Valley by dialing 911. Note: Cellular phone service is not available throughout the entire Carrizo Plain. <br>Wear sturdy shoes for hiking.  Bring lunch and plenty of water. Carpool whenever possible.  Be prepared for all types of weather; bring a Jacket a hat and sunscreen.",119,Tour
49,Long Description,"The tours meet at the Goodwin Education Center off of Soda Lake Road at 10 a.m. and will caravan up to the ranch. Visitors should bring a sack lunch to enjoy while sitting on the ranch house veranda at the tour conclusion. The El Saucito Ranch has the distinction of having the oldest standing historic house on the Monument and is the only ranch on the monument to have been occupied from the pioneer period to modern time. Historic sites such as the El Saucito Ranch are special places that tell us a story about the heritage of California. The tour includes a short hike lead by a BLM employee around the grounds of the ranch, descriptions of the facilities and the operation of the historic ranch, and stories about the way life was 100+ years ago on the Carrizo Plain. <br><br>Saucito Ranch Tour will only be offered on  April 8, 2018.",119,Tour
66,Physical Effort,Moderate,119,Tour
95,Tour Days / Hours Description,"We only give 1 tour per year, in April. ",119,Tour
96,Tour Days of Week,Sunday,119,Tour
1,Accessibility,The boat is accessible but the tour on land is not. You must be able to hike up a 60 foot granite cliff during the tour.  ,12,Tour
19,Directions To Tour,"From Duluth MN., drive about 2.5 hours to County Road 122.  Take a right on County Road 122 and travel 2.5 miles to the Kabetogama Lake Visitor Center. The Borealis tour boat is just outside the visitor center.",12,Tour
21,Distance (miles),10,12,Tour
43,Important Information,"Check in for tour 30 minutes prior to departure. No smoking. Food is not allowed on the boat but water is. There is no restroom aboard the boat. Jackets, mosquito spray and sunscreen are recommended. Visitors must hike up a 60-foot granite rock outcrop on the tour.",12,Tour
49,Long Description,"Board the Borealis and cruise Kabetogama Lake in search of active eagle nests and other wildlife. At the gardens, join a ranger for a 1/4 mile tour (not accessible) of the unique rock sculptures, building remnants, and winding paths. Tours run from 2:00 pm - 4:00 pm.",12,Tour
62,Num of Steps,0,12,Tour
66,Physical Effort,Moderate,12,Tour
95,Tour Days / Hours Description,Tuesday,12,Tour
96,Tour Days of Week,Tuesday,12,Tour
1,Accessibility,Throughout the building and exhibits there are wheelchair ramps and elevators. There is captioning in the exhibits and on audio-visual components. There are assisted listening devices available in Theater.,120,Tour
3,Amenities,"Restrooms, drinking fountains, Archives Shop, Cafe.",120,Tour
